2013-07-01	0.00	0.00	0.01	0.02	0.07	0.18	
2013-07-02	0.00	0.00	0.01	0.03	0.08	0.21	
2013-07-03	0.00	0.00	0.01	0.03	0.09	0.24	
2013-07-04	0.00	0.00	0.01	0.03	0.10	0.27	
2013-07-05	0.00	0.00	0.01	0.04	0.12	0.32	
2013-07-06	0.00	0.00	0.01	0.05	0.13	0.37	
2013-07-07	0.00	0.00	0.02	0.05	0.16	0.42	
2013-07-08	0.00	0.01	0.02	0.06	0.18	0.49	
2013-07-09	0.00	0.01	0.02	0.07	0.21	0.56	
2013-07-10	0.00	0.01	0.03	0.08	0.24	0.65	
2013-07-11	0.00	0.01	0.03	0.09	0.28	0.75	
2013-07-12	0.00	0.01	0.03	0.11	0.32	0.86	
2013-07-13	0.00	0.01	0.04	0.12	0.37	0.99	
2013-07-14	0.00	0.01	0.04	0.14	0.42	1.15	
2013-07-15	0.00	0.01	0.05	0.17	0.49	1.32	
2013-07-16	0.00	0.02	0.06	0.19	0.56	1.52	
2013-07-17	0.00	0.02	0.07	0.22	0.65	1.76	
2013-07-18	0.01	0.02	0.08	0.25	0.75	2.03	
2013-07-19	0.01	0.02	0.09	0.29	0.86	2.34	
2013-07-20	0.01	0.03	0.10	0.34	1.00	2.70	
2013-07-21	0.01	0.03	0.12	0.39	1.15	3.11	
2013-07-22	0.01	0.04	0.14	0.45	1.32	3.59	
2013-07-23	0.01	0.04	0.16	0.52	1.53	4.15	
2013-07-24	0.01	0.05	0.19	0.60	1.76	4.78	
2013-07-25	0.01	0.06	0.21	0.69	2.03	5.52	
2013-07-26	0.02	0.07	0.25	0.80	2.35	6.36	
2013-07-27	0.02	0.08	0.28	0.92	2.71	7.34	
2013-07-28	0.02	0.09	0.33	1.06	3.12	8.47	
2013-07-29	0.02	0.10	0.38	1.23	3.60	9.77	
2013-07-30	0.03	0.12	0.44	1.41	4.15	11.27	
2013-07-31	0.03	0.14	0.50	1.63	4.79	12.99	
2013-08-01	0.04	0.16	0.58	1.88	5.53	14.99	
2013-08-02	0.04	0.18	0.67	2.17	6.38	17.29	
2013-08-03	0.05	0.21	0.77	2.50	7.36	19.94	
2013-08-04	0.06	0.24	0.89	2.89	8.48	23.00	
2013-08-05	0.07	0.28	1.03	3.33	9.79	26.54	
2013-08-06	0.08	0.32	1.19	3.84	11.29	30.61	
2013-08-07	0.09	0.37	1.37	4.43	13.02	35.30	
2013-08-08	0.10	0.43	1.58	5.11	15.02	40.72	
2013-08-09	0.12	0.50	1.82	5.90	17.33	46.96	
2013-08-10	0.13	0.57	2.10	6.80	19.99	54.17	
2013-08-11	0.16	0.66	2.42	7.85	23.06	62.47	
2013-08-12	0.18	0.76	2.80	9.05	26.59	72.05	
2013-08-13	0.21	0.88	3.22	10.44	30.67	83.09	
2013-08-14	0.24	1.02	3.72	12.05	35.38	95.81	
2013-08-15	0.27	1.17	4.29	13.90	40.81	110.49	
2013-08-16	0.32	1.35	4.95	16.03	47.07	127.40	
2013-08-17	0.37	1.56	5.71	18.49	54.29	146.89	
2013-08-18	0.42	1.80	6.59	21.33	62.61	169.35	
2013-08-19	0.49	2.08	7.60	24.60	72.20	195.22	
2013-08-20	0.56	2.40	8.76	28.38	83.27	225.03	
2013-08-21	0.65	2.77	10.11	32.73	96.02	259.36	
2013-08-22	0.75	3.19	11.66	37.75	110.73	298.88	
2013-08-23	0.86	3.68	13.45	43.54	127.68	344.37	
2013-08-24	0.99	4.25	15.52	50.22	147.21	396.72	
2013-08-25	1.15	4.90	17.90	57.92	169.71	456.93	
2013-08-26	1.32	5.65	20.65	66.80	195.65	526.15	
